AÑO,CONCURSO,ÁREA,CARRERA,PLANTEL,OFERTA,ASPIRANTES,PRESENTARON EXAMEN,ACIERTOS MÍNIMOS,SELECCIONADOS
2018,Junio,1,(109)  INGENIERIA ELECTRICA ELECTRONICA,FACULTAD DE INGENIERIA,37,641,545,100,40
2018,Junio,1,(109)  INGENIERIA ELECTRICA ELECTRONICA,FES ARAGON,15,297,270,90,15
2018,Junio,1,(110)  INGENIERIA EN COMPUTACION,FES ARAGON,20,758,690,89,20
2018,Junio,1,(110)  INGENIERIA EN COMPUTACION,FACULTAD DE INGENIERIA,30,1163,989,99,30
2018,Junio,1,(112)  INGENIERIA GEOFISICA,FACULTAD DE INGENIERIA,7,128,103,97,7
2018,Junio,1,(113)  INGENIERIA GEOLOGICA,FACULTAD DE INGENIERIA,8,124,104,86,8
2018,Junio,1,(114)  INGENIERIA INDUSTRIAL,FACULTAD DE INGENIERIA,24,553,456,101,26
2018,Junio,1,(114)  INGENIERIA INDUSTRIAL,FES CUAUTITLAN,15,313,289,81,15
2018,Junio,1,(114)  INGENIERIA INDUSTRIAL,FES ARAGON,16,322,285,88,16
2018,Junio,1,(115)  INGENIERIA MECANICA,FACULTAD DE INGENIERIA,14,638,534,106,14
2018,Junio,1,(115)  INGENIERIA MECANICA,FES ARAGON,12,359,317,93,12
2018,Junio,1,(116)  INGENIERIA MECANICA ELECTRICA,FES CUAUTITLAN,29,370,337,78,31
2018,Junio,1,(117)  INGENIERIA PETROLERA,FACULTAD DE INGENIERIA,18,386,335,93,23
2018,Junio,1,(118)  INGENIERIA QUIMICA,FACULTAD DE QUIMICA,23,422,362,103,23
2018,Junio,1,(118)  INGENIERIA QUIMICA,FES CUAUTITLAN,11,284,252,90,11
2018,Junio,1,(118)  INGENIERIA QUIMICA,FES ZARAGOZA,33,457,409,86,34
2018,Junio,1,(119)  INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUIMICA,6,120,109,99,7
2018,Junio,1,(120)  INGENIERIA GEOMATICA,FACULTAD DE INGENIERIA,6,143,125,96,6
2018,Junio,1,(121)  MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLAN,75,417,374,73,76
2018,Junio,1,(122)  MATEMATICAS,FACULTAD DE CIENCIAS,35,351,293,104,39
2018,Junio,1,(127)  CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD JURIQUILLA,6,64,45,89,6
2018,Junio,1,(127)  CIENCIAS DE LA TIERRA,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD MERIDA,20,9,9,47,8
2018,Junio,1,(127)  CIENCIAS DE LA TIERRA,FACULTAD DE CIENCIAS,9,196,159,97,12
2018,Junio,1,"(130)  ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLAN,27,306,276,75,28
2018,Junio,1,(131)  GEOCIENCIAS,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD MORELIA,10,68,62,81,10
2018,Junio,1,(132)  TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD MORELIA,11,34,28,59,18
2018,Junio,1,(133)  CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD MORELIA,12,46,39,71,13
2018,Junio,1,(134)  FISICA BIOMEDICA,FACULTAD DE CIENCIAS,5,160,132,109,5
2018,Junio,1,(136)  MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,10,135,114,104,12
2018,Junio,2,(201)  BIOLOGIA,TLAXCALA,10,59,47,66,20
2018,Junio,2,(201)  BIOLOGIA,FACULTAD DE CIENCIAS,26,865,743,103,26
2018,Junio,2,(201)  BIOLOGIA,FES IZTACALA,33,566,499,89,33
2018,Junio,2,(201)  BIOLOGIA,FES ZARAGOZA,30,593,540,85,36
2018,Junio,2,(202)  CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGIA,17,799,694,97,17
2018,Junio,2,(202)  CIRUJANO DENTISTA,FES IZTACALA,35,1057,941,87,38
2018,Junio,2,(202)  CIRUJANO DENTISTA,FES ZARAGOZA,25,905,831,88,30
2018,Junio,2,(203)  ENFERMERIA Y OBSTETRICIA,ESCUELA NACIONAL DE ENFERMERIA Y OBSTETRICIA,15,1082,965,95,15
2018,Junio,2,(204)  INGENIERIA AGRICOLA,FES CUAUTITLAN,29,268,235,75,30
2018,Junio,2,(205)  INGENIERIA EN ALIMENTOS,FES CUAUTITLAN,30,497,461,79,33
2018,Junio,2,(207)  MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,20,1374,1171,104,20
2018,Junio,2,(207)  MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLAN,13,1003,886,92,14
2018,Junio,2,(208)  MEDICO CIRUJANO,FES ZARAGOZA,8,1432,1260,107,12
2018,Junio,2,(208)  MEDICO CIRUJANO,FES IZTACALA,16,2153,1891,109,19
2018,Junio,2,(208)  MEDICO CIRUJANO,FACULTAD DE MEDICINA,38,4393,3710,113,42
2018,Junio,2,(209)  OPTOMETRIA,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD LEON,10,60,49,66,24
2018,Junio,2,(209)  OPTOMETRIA,FES IZTACALA,14,241,215,80,14
2018,Junio,2,(210)  PSICOLOGIA,FES ZARAGOZA,25,1346,1232,78,82
2018,Junio,2,(210)  PSICOLOGIA,FES IZTACALA,21,1089,971,81,57
2018,Junio,2,(210)  PSICOLOGIA,FACULTAD DE PSICOLOGIA,17,1373,1175,102,21
2018,Junio,2,(210)  PSICOLOGIA,TLAXCALA,6,46,39,56,15
2018,Junio,2,(211)  QUIMICA,FES CUAUTITLAN,8,191,172,94,9
2018,Junio,2,(211)  QUIMICA,FACULTAD DE QUIMICA,8,273,235,108,8
2018,Junio,2,(212)  QUIMICA DE ALIMENTOS,FACULTAD DE QUIMICA,13,343,299,104,15
2018,Junio,2,(213)  QUIMICA FARMACEUTICO BIOLOGICA,FACULTAD DE QUIMICA,16,845,734,105,16
2018,Junio,2,(213)  QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,16,827,736,100,16
2018,Junio,2,(214)  QUIMICA INDUSTRIAL,FES CUAUTITLAN,16,283,253,83,19
2018,Junio,2,(216)  CIENCIAS AMBIENTALES,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD MORELIA,27,106,91,70,27
2018,Junio,2,(216)  CIENCIAS AMBIENTALES,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD MERIDA,11,22,20,74,11
2018,Junio,2,(217)  MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD MERIDA,11,21,14,41,11
2018,Junio,2,(218)  BIOQUIMICA DIAGNOSTICA,FES CUAUTITLAN,9,279,248,96,10
2018,Junio,2,(219)  FARMACIA,FES CUAUTITLAN,21,243,220,81,23
2018,Junio,2,(220)  ENFERMERIA,FES ZARAGOZA,20,1402,1270,90,21
2018,Junio,2,(220)  ENFERMERIA,TLAXCALA,10,81,72,55,16
2018,Junio,2,(220)  ENFERMERIA,ESCUELA NACIONAL DE ENFERMERIA Y OBSTETRICIA,30,755,679,80,49
2018,Junio,2,(220)  ENFERMERIA,FES IZTACALA,26,1291,1170,86,28
2018,Junio,2,(221)  FISIOTERAPIA,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD LEON,23,442,365,79,24
